Finding ID,Rule ID,Rule Version,Category,Title,Description,Severity,Confidence,Status,First Seen At,Last Seen At,Resource Type,Resource ID,Resource ARN,Region,Framework,Control ID
57301827-570f-5e2c-87e4-842418f44ce9,aws.bedrock.model.kms_encryption_enabled,,,,,medium,high,open,2026-01-14T04:42:04.154249Z,2026-01-14T04:42:04.154249Z,bedrock,,aws.bedrock.model.kms_encryption_enabled#us-west-2#bedrock,us-west-2,,
f7ec392d-ba6c-5bf6-8f1b-956b0d8c3c63,aws.bedrock.resource.model_invocation_logging_enabled,,,,,medium,high,open,2026-01-14T04:42:04.154287Z,2026-01-14T04:42:04.154287Z,bedrock,,aws.bedrock.resource.model_invocation_logging_enabled#us-west-2#bedrock,us-west-2,,
cbc40cfb-931a-58e5-b613-dce6a9b5f535,aws.bedrock.resource.model_invocation_logs_encryption_enabled,,,,,medium,high,open,2026-01-14T04:42:04.154322Z,2026-01-14T04:42:04.154322Z,bedrock,,aws.bedrock.resource.model_invocation_logs_encryption_enabled#us-west-2#bedrock,us-west-2,,
9c8d9b1a-9553-5061-857f-2052b12fc023,aws.apigateway.resource.restapi_cache_encrypted,,,,,medium,high,open,2026-01-14T04:42:04.154369Z,2026-01-14T04:42:04.154369Z,apigateway,,aws.apigateway.resource.restapi_cache_encrypted#eu-west-1#apigateway,eu-west-1,,
7d716224-bde0-59a7-9fc4-2fba43826c08,aws.apigateway.resource.restapi_logging_enabled,,,,,medium,high,open,2026-01-14T04:42:04.154410Z,2026-01-14T04:42:04.154410Z,apigateway,,aws.apigateway.resource.restapi_logging_enabled#eu-west-1#apigateway,eu-west-1,,
d34b6f66-76d2-5f80-bf00-dd91ba3db675,aws.apigateway.restapi.logging_enabled,,,,,medium,high,open,2026-01-14T04:42:04.154445Z,2026-01-14T04:42:04.154445Z,apigateway,,aws.apigateway.restapi.logging_enabled#eu-west-1#apigateway,eu-west-1,,
949ca55a-ebef-593f-b830-19181b209326,aws.apigateway.restapi.tracing_enabled,,,,,medium,high,open,2026-01-14T04:42:04.154542Z,2026-01-14T04:42:04.154542Z,apigateway,,aws.apigateway.restapi.tracing_enabled#eu-west-1#apigateway,eu-west-1,,
9d916db5-b852-56c1-912f-68f70cadadba,aws.apigateway.restapi.waf_enabled,,,,,medium,high,open,2026-01-14T04:42:04.154600Z,2026-01-14T04:42:04.154600Z,apigateway,,aws.apigateway.restapi.waf_enabled#eu-west-1#apigateway,eu-west-1,,
d953825e-bbff-56d8-8a4a-ffb606a905e2,aws.apigateway.stage.api_access_log_fields_identity_configured,,,,,medium,high,open,2026-01-14T04:42:04.154663Z,2026-01-14T04:42:04.154663Z,apigateway,,aws.apigateway.stage.api_access_log_fields_identity_configured#eu-west-1#apigateway,eu-west-1,,
2963b8ab-ea67-510e-98c6-a3498a96ed65,aws.apigateway.stage.api_access_log_sink_configured,,,,,medium,high,open,2026-01-14T04:42:04.154745Z,2026-01-14T04:42:04.154745Z,apigateway,,aws.apigateway.stage.api_access_log_sink_configured#eu-west-1#apigateway,eu-west-1,,
