Resource Type,Classification,Should Inventory,Use for Enrichment,Has ARN,Can Get from Root,Requires Dependent,Root Operations,Dependent Operations
"capacity_block_extension_capacity_reservation","SUB_RESOURCE","No","Yes","No","Yes","No","DescribeCapacityBlockExtensionHistory; DescribeCapacityReservationTopology; DescribeCapacityReservations","DescribeCapacityReservationBillingRequests; GetCapacityReservationUsage"
"capacity_block_offering_capacity_block_offering","SUB_RESOURCE","No","Yes","No","No","Yes","None","DescribeCapacityBlockOfferings"
"capacity_block_status_capacity_block","SUB_RESOURCE","No","Yes","No","Yes","No","DescribeCapacityBlockStatus; DescribeCapacityBlocks; DescribeCapacityReservationTopology; DescribeCapacityReservations; DescribeInstanceTopology","None"
"capacity_manager_data_export_capacity_manager_data_export","SUB_RESOURCE","No","Yes","No","Yes","No","DescribeCapacityManagerDataExports","None"
"capacity_manager_data_export_s3_bucket","SUB_RESOURCE","No","Yes","No","Yes","No","DescribeCapacityManagerDataExports","None"
"capacity_reservation_capacity_reservation","PRIMARY_RESOURCE","Yes","No","Yes","Yes","No","DescribeCapacityReservations","None"
"capacity_reservation_fleet_capacity_reservation_fleet","PRIMARY_RESOURCE","Yes","No","Yes","Yes","No","DescribeCapacityReservationFleets; DescribeCapacityReservationFleets; DescribeCapacityReservations","None"
"capacity_reservation_outpost","PRIMARY_RESOURCE","Yes","No","Yes","Yes","No","DescribeCapacityReservations; DescribeHosts; DescribeInstanceStatus; DescribeLocalGatewayRouteTables; DescribeLocalGateways; DescribeNetworkInterfaces; DescribeOutpostLags; DescribeServiceLinkVirtualInterfaces; DescribeSnapshots; DescribeSubnets; DescribeVolumeStatus; DescribeVolumes; ListVolumesInRecycleBin","None"
"capacity_reservation_placement_group","PRIMARY_RESOURCE","Yes","No","Yes","Yes","No","DescribeCapacityReservations","None"
"capacity_reservation_unused_reservation_billing_owner","SUB_RESOURCE","No","Yes","No","Yes","No","DescribeCapacityReservations","DescribeCapacityReservationBillingRequests"
"carrier_gateway_carrier_gateway","SUB_RESOURCE","No","Yes","No","Yes","No","DescribeCarrierGateways","None"
"carrier_gateway_vpc","SUB_RESOURCE","No","Yes","No","Yes","No","DescribeCarrierGateways; DescribeClassicLinkInstances; DescribeClientVpnEndpoints; DescribeInstanceConnectEndpoints; DescribeLocalGatewayRouteTableVpcAssociations; DescribeNatGateways; DescribeNetworkAcls; DescribeNetworkInterfaces; DescribeRouteServerEndpoints; DescribeRouteServerPeers; DescribeRouteTables; DescribeSecurityGroupVpcAssociations; DescribeSecurityGroups; DescribeSubnets; DescribeTransitGatewayVpcAttachments; DescribeVpcClassicLink; DescribeVpcClassicLinkDnsSupport; DescribeVpcEncryptionControls; DescribeVpcEndpoints; DescribeVpcs","DescribeClientVpnTargetNetworks; DescribeStaleSecurityGroups; DescribeVpcAttribute; GetIpamAddressHistory; GetIpamDiscoveredPublicAddresses; GetIpamDiscoveredResourceCidrs; GetIpamResourceCidrs; GetRouteServerAssociations"
"certificate","PRIMARY_RESOURCE","Yes","No","Yes","Yes","No","DescribeClientVpnEndpoints","None"
"client_vpn_endpoint_client_vpn_endpoint","SUB_RESOURCE","No","Yes","No","Yes","No","DescribeClientVpnEndpoints","DescribeClientVpnAuthorizationRules; DescribeClientVpnConnections; DescribeClientVpnRoutes; DescribeClientVpnTargetNetworks"
"client_vpn_endpoint_dns","SUB_RESOURCE","No","Yes","No","Yes","No","DescribeClientVpnEndpoints; DescribeInstanceConnectEndpoints","None"
"client_vpn_endpoint_server_certificate","PRIMARY_RESOURCE","Yes","No","Yes","Yes","No","DescribeClientVpnEndpoints","None"
"client_vpn_target_network_target_network","SUB_RESOURCE","No","Yes","No","No","Yes","None","DescribeClientVpnTargetNetworks"
"coip_address_usag_aws_account","SUB_RESOURCE","No","Yes","No","No","Yes","None","GetCoipPoolUsage"
"coip_pool_local_gateway_route_table","SUB_RESOURCE","No","Yes","No","Yes","No","DescribeCoipPools","None"
"coip_pool_pool","PRIMARY_RESOURCE","Yes","No","Yes","Yes","No","DescribeCoipPools; DescribeCoipPools; DescribeIpv6Pools; DescribePublicIpv4Pools","None"
"connection_common","SUB_RESOURCE","No","Yes","No","No","Yes","None","DescribeClientVpnConnections"
"connection_connection","SUB_RESOURCE","No","Yes","No","No","Yes","None","DescribeClientVpnConnections"
"connection_notification_set_connection_notification","PRIMARY_RESOURCE","Yes","No","Yes","Yes","No","DescribeVpcEndpointConnectionNotifications; DescribeVpcEndpointConnectionNotifications","None"
"connection_notification_set_service","SUB_RESOURCE","No","Yes","No","Yes","No","DescribeVpcEndpointConnectionNotifications; DescribeVpcEndpointConnections; DescribeVpcEndpointServiceConfigurations","DescribeVpcEndpointServicePermissions"
"conversion_task_conversion_task","EPHEMERAL","No","No","No","Yes","No","DescribeConversionTasks","None"
"customer_gateway_certificate","PRIMARY_RESOURCE","Yes","No","Yes","Yes","No","DescribeCustomerGateways","None"
